Date,Open,High,Low,Close,Adj Close,Volume
2019-11-18,503.25,510.75,498.5,507.25,507.25,59866
2019-11-19,506.25,515.25,506.0,512.0,512.0,69373
2019-11-20,512.0,515.75,508.0,515.5,515.5,38138
2019-11-21,515.0,519.5,508.25,509.0,509.0,35378
2019-11-22,509.25,518.5,508.25,515.25,515.25,46923
2019-11-25,515.0,532.5,515.0,531.0,531.0,44721
2019-11-26,530.75,531.75,525.5,530.25,530.25,28006
2019-11-27,530.0,533.0,525.75,528.5,528.5,19195
2019-11-29,532.5,550.5,532.5,547.5,547.5,3358
2019-12-02,549.5,549.75,542.75,543.25,543.25,780
2019-12-03,545.75,548.0,530.5,530.5,530.5,923
2019-12-04,531.0,535.5,531.0,535.0,535.0,345
2019-12-05,535.25,537.5,531.75,532.0,532.0,397
2019-12-06,532.75,532.75,529.0,532.5,532.5,359
2019-12-09,532.5,533.25,531.0,532.0,532.0,166
2019-12-10,532.25,537.5,529.75,534.75,534.75,290
2019-12-11,534.5,534.5,528.0,530.75,530.75,136
2019-12-12,529.75,544.0,528.75,539.25,539.25,61
2019-12-13,539.25,539.25,539.25,539.25,539.25,65491
2019-12-16,534.75,556.75,534.75,549.75,549.75,95740
2019-12-17,553.25,557.25,545.0,556.25,556.25,68511
2019-12-18,553.25,555.0,545.25,548.25,548.25,56331
2019-12-19,547.5,553.5,544.0,545.25,545.25,39716
2019-12-20,545.25,549.0,538.75,542.25,542.25,44101
2019-12-23,543.0,547.0,538.75,539.5,539.5,33261
2019-12-24,539.5,545.0,538.5,541.0,541.0,21559
2019-12-26,540.75,552.0,540.25,549.0,549.0,30244
2019-12-27,549.75,561.0,549.25,556.25,556.25,52110
2019-12-30,560.0,564.5,551.5,556.0,556.0,42485
2019-12-31,555.0,559.75,553.0,558.75,558.75,38466
2020-01-02,559.5,567.5,558.25,560.25,560.25,49931
2020-01-03,560.75,562.0,551.75,554.5,554.5,44180
2020-01-06,552.5,555.25,546.75,550.0,550.0,47904
2020-01-07,549.5,551.0,545.5,550.25,550.25,41346
2020-01-08,549.5,555.75,545.25,552.75,552.75,51322
2020-01-09,553.75,564.0,552.75,562.25,562.25,66455
2020-01-10,562.75,568.5,555.75,564.5,564.5,92633
2020-01-13,565.25,565.75,558.5,562.25,562.25,51064
2020-01-14,562.25,573.0,559.25,568.5,568.5,69294
2020-01-15,569.0,578.75,568.25,573.25,573.25,78783
2020-01-16,573.5,573.5,560.0,565.25,565.25,58192
2020-01-17,565.5,572.5,564.25,570.5,570.5,54666
2020-01-21,572.5,582.75,566.75,581.5,581.5,69900
2020-01-22,581.5,592.5,574.5,577.75,577.75,84471
2020-01-23,577.75,583.0,575.25,580.5,580.5,55850
2020-01-24,581.75,581.75,569.5,573.5,573.5,58501
2020-01-27,567.75,573.25,559.5,572.25,572.25,78994
2020-01-28,573.0,576.5,565.5,569.75,569.75,56857
2020-01-29,571.0,573.25,561.0,562.25,562.25,55030
2020-01-30,562.5,562.5,550.75,560.5,560.5,77794
2020-01-31,562.5,566.0,552.75,553.75,553.75,63922
2020-02-03,551.25,558.0,546.5,555.5,555.5,83000
2020-02-04,554.25,564.25,553.5,557.25,557.25,69486
2020-02-05,559.25,563.75,555.5,562.0,562.0,52869
2020-02-06,563.75,565.5,555.75,556.25,556.25,51963
2020-02-07,557.0,563.0,553.25,558.75,558.75,64891
2020-02-10,558.75,560.75,551.0,552.0,552.0,100463
2020-02-11,551.5,551.75,539.0,542.0,542.0,166632
2020-02-12,541.0,549.0,538.25,547.5,547.5,91895
2020-02-13,548.5,550.5,540.75,544.25,544.25,85047
2020-02-14,544.75,549.5,542.0,542.75,542.75,63124
2020-02-18,549.25,570.75,548.0,566.75,566.75,123526
2020-02-19,563.0,565.75,553.0,565.25,565.25,68274
2020-02-20,565.25,567.5,558.25,560.0,560.0,55426
2020-02-21,559.75,569.0,550.5,551.0,551.0,81105
2020-02-24,550.25,550.5,534.0,536.25,536.25,53342
2020-02-25,539.0,541.25,530.75,539.0,539.0,29431
2020-02-26,539.25,542.75,534.75,540.25,540.25,19746
2020-02-27,538.75,539.25,528.25,529.25,529.25,20812
2020-02-28,531.0,531.25,515.5,529.0,529.0,2192
2020-03-02,523.5,526.25,521.5,526.25,526.25,672
2020-03-03,523.0,534.5,523.0,528.75,528.75,301
2020-03-04,528.0,528.0,521.25,521.5,521.5,213
2020-03-05,521.25,528.5,518.5,524.25,524.25,109
2020-03-06,520.0,522.75,516.25,521.25,521.25,29
2020-03-09,516.0,524.0,513.5,522.25,522.25,122
2020-03-10,524.25,526.75,519.25,526.75,526.75,61
2020-03-11,527.25,527.5,517.25,517.25,517.25,29
2020-03-12,506.75,508.75,506.75,508.25,508.25,24
2020-03-13,509.75,514.75,506.5,514.75,514.75,69365
2020-03-16,503.0,507.25,491.75,498.0,498.0,78982
2020-03-17,496.25,506.5,494.5,499.25,499.25,65543
2020-03-18,500.75,512.0,494.5,508.25,508.25,68778
2020-03-19,508.5,540.5,508.5,535.0,535.0,103082
2020-03-20,534.5,547.0,533.0,539.25,539.25,71442
2020-03-23,539.5,563.25,537.25,562.5,562.5,86808
2020-03-24,560.5,562.5,549.75,561.5,561.5,67261
2020-03-25,560.0,583.25,556.75,580.0,580.0,97558
2020-03-26,579.5,583.0,564.5,569.0,569.0,76661
2020-03-27,569.5,587.0,563.5,571.25,571.25,87575
2020-03-30,572.25,580.75,562.75,569.5,569.5,59620
2020-03-31,569.75,575.25,564.25,568.75,568.75,66203
2020-04-01,567.25,571.75,546.5,550.25,550.25,67309
2020-04-02,550.25,553.25,538.25,541.75,541.75,46926
2020-04-03,541.75,556.5,541.5,549.25,549.25,44941
2020-04-06,550.0,561.75,549.75,555.75,555.75,44545
2020-04-07,555.25,555.75,545.25,549.25,549.25,67148
2020-04-08,551.0,554.5,545.0,548.25,548.25,57533
2020-04-09,549.25,558.75,546.75,556.5,556.5,63609
2020-04-13,560.75,564.5,552.5,555.0,555.0,53253
2020-04-14,555.75,556.75,546.0,548.75,548.75,53925
2020-04-15,546.5,548.75,529.75,540.25,540.25,67687
2020-04-16,538.75,545.25,528.0,529.75,529.75,31461
2020-04-17,528.5,536.0,524.5,533.5,533.5,23903
2020-04-20,536.0,562.0,535.25,548.75,548.75,40953
2020-04-21,551.5,557.0,541.75,546.75,546.75,18717
2020-04-22,547.75,549.75,538.0,543.0,543.0,18840
2020-04-23,542.0,551.5,538.5,547.0,547.0,22944
2020-04-24,549.25,550.75,526.0,526.75,526.75,44703
