order_execution_datetime,trader,direction,ticker,expiration,contract_details,contract_price,timeframe,comment
12/01/2022 11:50 AM,MariaC82,IN,TQQQ,12/9,23C,1.43,SWING,STOP AT YOUR OWN RISK. NO ALERT. FOLLOWING FLOW. RISKY AF 
12/02/2022 9:53 AM,MariaC82,IN,SBUX,6/15,105C,9.60,SWING,STOP AT YOUR OWN RISK. LARGE & STEADY BULLISH 
12/05/2022 7:45 AM,MariaC82,IN,PYPL,12/9,76C,1.13,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. RISKY AF. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
12/06/2022 8:21 AM,MariaC82,IN,VFC,1/24,37.5C,2.35,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. I PLAN ON HOLDING FOR A LONG TIME Thread everyone MariaC82 IN VFC 124 37 5C 2 35 4 Messages › There are no recent messages in this thread. MariaC82 — 12/06/2022 8:23 AM
12/21/2022 6:54 AM,MariaC82,IN,WBD,1/6,9.5C,0.37,SWING,STOP AT YOUR OWN RISK CORRECTION TO PREVIOUS POST: THE TICKER IS WBD NOT WBC. SWIFT & RAPIDFIRE BULLISH. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL Rafi from Money land started a thread: everyone MariaC82 IN VFC 124 37 5C 2 35 . See all threads . — 12/21/2022 6:55 AM 
12/28/2022 8:46 AM,MariaC82,IN,HOG,1/20,41C,1.40,SWING,"STOP AT YOUR OWN RISK. WE ALERTED THE 1.6.2023 41Cs. FOLLOW UP FLOW INTO THE JAN 41Cs. I LIKE THE EXTRA TIME WITH THE JAN EXPWHICH IS WHY I TOOK THE JAN EXP. SMALL POSITION. 100% RISK "
12/28/2022 10:12 AM,MariaC82,IN,FIS,4/21,75C,2.80,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD 
01/03/2023 6:40 AM,MariaC82,OUT,WBD,1/6,9.5C,0.47,SWING,OUT OF ALL. THESE ARE GREEN AGAIN.. TAKING IT WHILE I CAN 
01/04/2023 11:05 AM,MariaC82,IN,M,3/17,24C,1.37,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH 
01/06/2023 7:24 AM,MariaC82,IN,MRVL,3/17,37.5C,2.43,SWING,STOP AT YOUR OWN RISK RAPIDFIRE BULLISH 
01/12/2023 6:58 AM,MariaC82,IN,LYFT,1/27,14.5C,0.53,SWING,STOP AT YOUR OWN RISK. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. SWIFT & RAPIDFIRE BULLISH 
01/12/2023 10:06 AM,MariaC82,OUT,MRVL,3/17,37.5C,5.15,SWING,OUT OF 1/2: 5.15 FROM 2.43 
01/23/2023 7:35 AM,MariaC82,OUT,LYFT,1/27,14.5C,1.23,SWING,OUT OF ALL: 1.23 FROM 0.53 
01/23/2023 8:16 AM,MariaC82,OUT,MRVL,3/17,37.5C,6.30,SWING,OUT OF SOME MORE. 6.30 FROM 2.43. LEAVING A FEW RUNNERS 
01/23/2023 12:38 PM,MariaC82,IN,ADI,1/27,172.5C,1.30,SWING,STOP AT YOUR OWN RISK ROULETTE BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
01/24/2023 9:16 AM,MariaC82,IN,PANW,3/17,170C,2.67,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL Thread everyone MariaC82 IN PANW 3 17 170C 2 3 Messages › There are no recent messages in this thread. 
01/26/2023 6:41 AM,MariaC82,IN,CRM,2/10,170C,1.24,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
01/26/2023 12:38 PM,MariaC82,OUT,CRM,2/10,170C,2.47,SWING,OUT OF MOST: 2.47 FROM 1.24. LEAVING A FEW RUNNERS JUST FOR FUN. PLEASE DONT WAIT FOR ME TO EXIT THE REST! Fireguy343 started a thread: everyone MariaC82 IN PANW 3 17 170C 2 . See all threads . — 01/26/2023 12:38 PM 
01/27/2023 6:53 AM,MariaC82,IN,FTCH,2/10,7C,0.37,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE & STEADY BULLISH. COBRA. 100%RISK 
01/27/2023 7:10 AM,MariaC82,IN,EBAY,7/21,50C,4.21,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
01/30/2023 7:07 AM,MariaC82,IN,SHOP,2/3,45.5C,4.01,SWING,"POSSIBLE SCALP STOP AT YOUR OWN RISK. ROULETTE AND LARGE BULLISHRISKY AF. COBRADONT TAKE UNLESS WILLING TO LOSE ALL "
02/01/2023 6:51 AM,MariaC82,IN,SNAP,1/19/2024,13C,1.71,SWING,"STOP AT YOUR OWN RISK. REPEATER BULLISH. RISKY AF. YESTHIS BREAKS THE 3 DAY RULEBUT IM OK WITH IT B/C OF THE TIME BOUGHT ON THE CONTRACTS "
02/01/2023 7:03 AM,MariaC82,OUT,CRM,2/10,170C,3.27,SWING,OUT OF THE REST: 3.27 FROM: 1.24 
